,Year,Aruba,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Andorra,Arab World,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czechia,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,Gabon,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Latin America & Caribbean ,Least developed countries: UN classification,Low & middle income,Late-demographic dividend,Middle East & North Africa,Middle income,Middle East & North Africa (excluding high income),North America,OECD members,Other small states,Pre-demographic dividend,"Korea, Dem. People's Rep.",Pacific island small states,Post-demographic dividend,French Polynesia,South Asia,El Salvador,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa ,Small states,Eswatini,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Latin America & the Caribbean (IDA & IBRD countries),Middle East & North Africa (IDA & IBRD countries),South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),British Virgin Islands,World,Kosovo
50,2010,100341,523459657,28189672,356337762,23364185,2913021,71519,364427661,40788453,2946293,54849,85695,22031750,8363404,9054332,9126605,10895586,9445710,16116845,148391139,7395599,1213645,373272,3811088,9483836,322106,65124,10223270,196353492,274711,396053,705516,2091664,4660067,34004889,104421447,156933,17004162,1337705000,21120042,19878036,66391257,4437884,44816108,656024,521212,4622252,7004428,11290417,148703,54074,1129686,10474410,81776930,919199,68755,5547683,9775755,35856344,1969186913,2946285613,2210203758,379079046,889169629,14989585,87252413,340467048,3147727,1331475,89237791,441552554,778717407,5363352,905169,65030575,48410,1711105,3786695,25574719,31262,10270728,1937275,1567220,1094524,11121341,114039,56905,14259687,164905,747932,7024200,8450933,630953183,4295427,9842880,10000023,4425784776,5838720255,1412935479,473204510,244016173,939730969,83828,1240613620,4560155,75373855,31264875,318041,7623600,59277417,2733896,6931258,128070000,16321872,41517895,5447900,14363532,107995,49554112,2943356,528978305,588873862,842807198,5760811387,2182768187,397997557,5249914066,343313330,343397156,1290948297,26565994,739525992,24686435,2301401,1075046427,283788,1660546144,6114034,879707649,879797419,35871823,1099920,11894727,1944510719,441664138,572674666,339527169,1660546144,879797419,27556,6969985525,1775680
51,2011,101288,537792950,29249157,366489204,24259111,2905195,70567,372351065,41261490,2928976,54310,86729,22340024,8391643,9173082,9455733,11038264,9726380,16602651,150211005,7348328,1212077,377950,3743142,9461643,329538,64564,10396246,198185302,275486,401506,713331,2134037,4732022,34339328,104174038,157819,17173573,1345035000,21562914,20448873,68654269,4584216,45308899,670071,527521,4679926,7044357,11298710,150831,55492,1145086,10496088,80274983,936811,68742,5570572,9903737,36543541,1984267781,2991403487,2225992094,381328678,891329416,15237728,89200054,339722971,3207570,1327439,91817929,440769682,797785010,5388272,908355,65345233,48386,1772500,3756441,26205941,31701,10527712,1998212,1609017,1144588,11104899,114918,56890,14521515,165649,744230,7071600,8622504,648927117,4280622,9954312,9971727,4471184320,5917716358,1446532038,484919898,247099697,961612140,84350,1257621191,4580084,76342971,32378061,319014,7765800,59379449,2746169,7109980,127833000,16557202,42635144,5514600,14573885,109871,49936638,3143825,535014773,595510008,863421305,5839474111,2196512073,406045323,5313967782,349770162,345987373,1297593939,27072916,761717101,24783789,2327284,1077987051,285265,1684898004,6137349,904194713,904282154,36444557,1105371,12317730,1959494275,443820083,579334666,345887176,1684898004,904282154,27962,7054044372,1791000
52,2012,102112,552530654,30466479,376797999,25188292,2900401,71013,380383408,41733271,2914421,53691,87674,22733465,8429991,9295784,9795479,11106932,10014078,17113732,152090649,7305888,1224939,382061,3674374,9446836,337059,64798,10569697,199977707,276197,406634,721145,2175425,4773306,34714222,103935318,158621,17341771,1354190000,22010712,21032684,70997870,4713257,45782417,684553,533864,4736593,7088996,11309290,152088,56860,1156556,10510785,80425823,954297,68888,5591572,10030882,37260563,2001264155,3035159632,2243776727,383374474,894660467,15483883,91240376,340450693,3252596,1322696,94451280,441419873,817412582,5413971,911059,65662240,48392,1836705,3728874,26858762,32160,10788692,2061014,1652717,1193636,11045011,115912,56810,14781942,166392,743966,7150100,8792367,667520863,4267558,10108539,9920362,4518973677,5998432110,1479458433,495868522,250222695,983589911,84338,1274487215,4599533,77324451,33864447,320716,7910500,59539717,2759817,7211863,127629000,16792090,43725806,5607200,14786640,111618,50199853,3394663,541048298,602139396,884653995,5919873728,2212381413,414117603,5379871102,356239722,348656682,1305513492,27617274,784822780,24887770,2353058,1082488958,286584,1708706729,6161289,929240350,929328653,37059328,1111444,12754906,1976386829,445763231,585986944,352259724,1708706729,929328653,28421,7141386257,1807106
53,2013,102880,567892149,31541209,387204553,26147002,2895092,71367,389131555,42202935,2901385,52995,88497,23128129,8479823,9416801,10149577,11159407,10308730,17636408,154030139,7265115,1261673,385650,3617559,9443211,344688,65001,10743349,201721767,276865,411702,728889,2217278,4802428,35082954,103713726,159794,17509925,1363240000,22469268,21632850,73460021,4828066,46237930,699393,539940,4791535,7135884,11321579,153822,58212,1166968,10514272,80645605,971753,68819,5614932,10157051,38000626,2018068461,3078407213,2261274500,385623200,898607432,15722989,93377890,341584506,3296367,1317997,97084366,442496175,837410155,5438972,913453,66002289,48418,1902226,3717668,27525597,32411,11055430,2124869,1697753,1243941,10965211,116945,56483,15043981,167054,747420,7178900,8960657,686620331,4255689,10261206,9893082,4567977613,6079501853,1511524240,506443358,253275918,1005080882,84144,1291132063,4623816,78458928,35481800,323764,8059500,60233948,2773129,7694814,127445000,17035551,44792368,5719600,14999683,113311,50428893,3646518,546954103,608642242,906405074,6000646643,2228485037,422790409,5446810885,363310225,351207902,1313643972,28225790,808542070,25001819,2379069,1087230525,288032,1731683901,6185642,955006753,955096702,37740743,1118319,13216766,1993077336,447902778,592507619,359233517,1731683901,955096702,28657,7229303088,1818117
54,2014,103594,583651101,32716210,397855507,27128337,2889104,71621,397922915,42669500,2889930,52217,89236,23475686,8546356,9535079,10494913,11209057,10614844,18169842,155961299,7223938,1311134,389131,3571068,9448515,352335,65138,10916987,203459650,277493,416656,736357,2260376,4798734,35437435,103496179,160912,17687108,1371860000,22995555,22299585,76035588,4944861,46677947,714612,546076,4844288,7181044,11332026,155909,59559,1176995,10525347,80982500,989087,69371,5643475,10282115,38760168,2034264880,3121656203,2278232287,387912182,902670860,15957994,95592324,342725321,3323425,1314545,99746766,443601373,857018106,5461512,915560,66312067,48465,1966855,3719414,28196358,32452,11333365,2189019,1743309,1295183,10892413,117972,56295,15306316,167543,751115,7229500,9127846,706617213,4238389,10412740,9866468,4616584921,6160290229,1543705308,516900084,256229761,1026805224,83896,1307246509,4657740,79961672,36746488,327386,8215700,60789140,2784543,8658026,127276000,17288285,45831863,5835500,15210817,114985,50746659,3761584,552781789,615046755,928661685,6081160760,2244043359,431664579,5513458464,370756356,353888902,1322075502,28907552,832469778,25126131,2405308,1092179620,289873,1754030304,6209526,981415249,981506608,38493904,1125865,13697126,2009149689,450071285,598949385,366582958,1754030304,981506608,28971,7317040295,1812771
55,2015,104257,600008424,33753499,408690375,28127721,2880703,71746,406501999,43131966,2878595,51368,89941,23815995,8642699,9649341,10727148,11274196,10932783,18718019,157830000,7177991,1362142,392697,3524324,9461076,359871,65237,11090085,205188205,278083,421437,743274,2305171,4819333,35702908,103257886,162190,17870124,1379860000,23596741,23012646,78656904,5064386,47119728,730216,552166,4895242,7224602,11339894,157980,60911,1187280,10546059,81686611,1006259,70007,5683483,10405832,39543154,2049757846,3165214886,2294507020,390267733,906695444,16195902,97723799,343718279,3340006,1315407,102471895,444570054,876436311,5479531,917200,66548272,48816,2028517,3725276,28870939,32520,11625998,2253133,1788919,1346973,10820883,118980,56114,15567419,167978,755031,7291300,9294505,727129254,4203604,10563757,9843028,4663653202,6240231201,1576577999,527175885,259091970,1049402114,83593,1322866505,4701957,81790841,37757813,330815,8380100,60730582,2794445,9494246,127141000,17542806,46851488,5956900,15417523,116707,51014947,3908743,558562792,621390109,951184941,6160876270,2258406242,440506473,5578703242,378137339,356507139,1330315361,29621042,856420253,25258015,2431426,1097061415,291787,1775545180,6231066,1008605380,1008698799,39277070,1133936,14140274,2024511016,452273365,605335594,373867247,1775545180,1008698799,29366,7403850164,1788196
56,2016,104874,616377605,34636207,419778384,29154746,2876101,72540,415077960,43590368,2865835,50448,90564,24190907,8736668,9757812,10903327,11331422,11260085,19275498,159784568,7127822,1409661,395976,3480986,9469379,367313,64554,11263015,206859578,278649,425994,749761,2352416,4904177,36109487,102994278,163721,18083879,1387790000,24213622,23711630,81430977,5186824,47625955,746232,558394,4945205,7265272,11342012,159664,62255,1197881,10566332,82348669,1023261,70075,5728010,10527592,40339329,2065173002,3208369547,2310721864,392579664,910633273,16439585,99784030,344683796,3365287,1315790,105293228,445515422,896272698,5495303,918371,66724104,49500,2086206,3727505,29554303,32565,11930985,2317206,1834552,1398927,10775971,119966,56186,15827690,168346,759087,7336600,9460798,748356635,4174349,10713849,9814023,4709004177,6319805369,1610801192,537358412,261850182,1073442780,83450,1338636340,4755335,83306231,38697943,335439,8546000,60627498,2802695,9964656,127076000,17794055,47894670,6079500,15624584,118513,51217803,4048085,564377885,627668470,974516186,6240319049,2272340223,448917409,5642635550,385054538,359245796,1338790910,30309997,880891473,25389611,2457814,1102020063,293541,1797072648,6250510,1036061312,1036155989,40033083,1142524,14592585,2039794828,454426367,611668087,380687450,1797072648,1036155989,29739,7490415449,1777557
57,2017,105439,632746570,35643418,431138704,30208628,2873457,73837,423664839,44044811,2851923,49463,91119,24592588,8797566,9854033,11155593,11375158,11596779,19835858,161793964,7075947,1456834,399020,3440027,9458989,374693,63873,11435533,208504960,279187,430276,756121,2401840,4996741,36545236,102740078,165215,18368577,1396215000,24848016,24393181,84283273,5312340,48351671,761664,564954,4993842,7303634,11336405,160175,63581,1208523,10594438,82657002,1040233,70403,5764980,10647244,41136546,2080919319,3250752755,2327132966,394705361,914078289,16696944,101789386,345370612,3396933,1317384,108197950,446215182,916427867,5508214,919019,66918020,50230,2140215,3728004,30222262,32602,12240789,2381182,1879826,1450694,10754679,120921,56172,16087418,168606,763252,7393200,9626842,770390212,4124531,10863543,9787966,4753252242,6399653365,1646401123,547984961,264498852,1098416162,83580,1354195680,4807388,84505076,39621162,343400,8713300,60536709,2808376,10215381,126972000,18037776,48948137,6198200,15830689,120362,51361911,4124904,570381211,633797190,998532743,6320334263,2286627723,456885486,5706387405,391607422,361731237,1346867343,30940313,905987912,25516321,2484263,1106212920,295450,1818931519,6266654,1063789431,1063885274,40728210,1151390,15085884,2055414680,456393433,617875842,387152617,1818931519,1063885274,30060,7576441961,1791003
58,2018,105962,649757148,36686784,442646825,31273533,2866376,75013,432545676,44494502,2836557,48424,91626,24963258,8840521,9939771,11493472,11427054,11940683,20392723,163683958,7025037,1487340,401906,3400129,9438785,382066,63918,11606905,210166592,279688,434274,762096,2451409,5094780,37065084,102538451,167259,18701450,1402760000,25493988,25076747,87087355,5441062,49276961,776313,571202,5040734,7374650,11328244,159336,64884,1218831,10629928,82905782,1057198,70823,5793636,10765531,41927007,2094524854,3292896609,2341383691,396674671,917380453,17015672,103740765,346153001,3445374,1321977,111129438,447001100,936721531,5515525,918996,67158348,50955,2192012,3726549,30870641,32648,12554864,2444916,1924955,1502091,10732882,121838,56023,16346950,168678,785514,7452600,9792850,792615894,4087843,11012421,9775564,4794555928,6477695468,1683139540,559155599,267066843,1123983941,83775,1369003306,4867316,85617562,40590700,352721,8882800,60421760,2811835,10459865,126811000,18276452,49953304,6322800,16025238,122261,51585058,4317185,576620516,639628226,1022731692,6399036689,2298987594,465073490,5768170863,398375344,363967201,1354836308,31494491,931467165,25638149,2510226,1110123356,297606,1840534093,6276342,1092307211,1092403973,41379367,1160428,15604210,2068898629,458211234,623841282,393806257,1840534093,1092403973,30335,7660371127,1797085
59,2019,106442,667242986,37769499,454306063,32353588,2854191,76343,441467739,44938712,2820602,47321,92117,25334826,8879920,10024283,11874838,11488980,12290444,20951639,165516222,6975761,1494188,404557,3360711,9419758,389095,63911,11777315,211782878,280180,438048,767459,2499702,5209324,37601230,102398537,169410,19039485,1407745000,26147551,25782341,89906890,5570733,50187406,790986,577030,5084532,7424102,11316697,157441,66134,1228836,10671870,83092962,1073994,71428,5814422,10881882,42705368,2106391925,3334561751,2353856866,398690076,920277481,17343740,105618671,346517987,3498818,1326898,114120594,447367191,957785553,5521606,918465,67388001,51681,2242785,3720161,31522290,32685,12877539,2508883,1970457,1553031,10721582,122724,56225,16604026,168624,798753,7507900,9958829,815100831,4065253,11160438,9771141,4832928887,6553978299,1721049412,570633332,269582878,1150416080,83933,1383112050,4934340,86564202,41563520,360563,9054000,59729081,2813773,10698683,126633000,18513673,50951450,6456200,16207746,124241,51764822,4441100,582701622,645295804,1047426093,6476092964,2309491804,473201775,5827337512,405259403,365995094,1362014902,32005477,957503246,25755441,2536070,1113305347,299717,1861598514,6280217,1121451424,1121549049,41965649,1169613,16126866,2080648616,460092452,629515571,400574097,1861598514,1121549049,30610,7741774583,1788878
60,2020,106585,685112979,38972230,466189102,33428486,2837849,77700,449228296,45376763,2805608,46189,92664,25649248,8916864,10093121,12220227,11538604,12643123,21522626,167420951,6934015,1477469,406471,3318407,9379952,394921,63893,11936162,213196304,280693,441725,772506,2546402,5343020,38007166,102180124,171113,19300315,1411100000,26811790,26491087,92853164,5702174,50930662,806166,582640,5123105,7444768,11300698,154947,67311,1237537,10697858,83160871,1090156,71995,5831404,10999664,43451666,2116378687,3374383528,2363934334,400061023,922353365,17588595,107465134,346961127,3555868,1329522,117190911,447692315,979763631,5529543,920422,67571107,52415,2292573,3722716,32180401,32709,13205153,2573995,2015828,1596049,10698599,123663,56367,16858333,169231,797202,7481000,10121763,838066650,4047680,11306801,9750149,4867091692,6627317499,1760225807,582637127,271857970,1177588680,84046,1396387127,4985382,87290193,42556984,366463,9215100,59438851,2820436,10928721,126261000,18755666,51985780,6579900,16396860,126463,51836239,4360444,588011178,650534986,1072970944,6549996251,2317277554,479966649,5882942581,411810124,369582571,1369465369,32381464,984213438,25867467,2566819,1117418072,301920,1882531620,6292731,1151203619,1151302081,42393051,1180655,16644701,2090523535,461273023,634680385,407006855,1882531620,1151302081,30910,7820205606,1790133
61,2021,106537,702977106,40099462,478185907,34503774,2811666,79034,456520777,45808747,2790974,45035,93219,25685412,8955797,10137750,12551213,11586195,12996895,22100683,169356251,6877743,1463265,407906,3270943,9302585,400031,63764,12079472,214326223,281200,445373,777486,2588423,5457154,38226498,101413176,172683,19493184,1412360000,27478249,27198628,95894118,5835806,51516562,821625,587925,5153957,7481877,11256372,152369,68136,1244188,10505772,83196078,1105557,72412,5856733,11117873,44177969,2123628421,3411268373,2370189840,401682855,923564027,17797737,109262178,346942979,3620312,1330932,120283026,447178112,1001844479,5541017,924610,67764304,52889,2341179,3708610,32833031,32669,13531906,2639916,2060721,1634466,10569207,124610,56653,17109746,170534,804567,7413100,10278345,861156745,3879000,11447569,9709891,4895372787,6695487825,1800115038,595016031,273753191,1205099007,84263,1407563842,5033164,87923432,43533592,372520,9371400,59133173,2827695,11148278,125681593,19000988,53005614,6773400,16589023,128874,51744876,4250114,592503434,654980630,1098791080,6618837270,2322606486,486174763,5933587229,418047201,370321816,1371917156,32708277,1011043183,25971909,2602173,1116569892,304032,1901911604,6314167,1181063755,1181163013,42792327,1192271,17179740,2097669023,462431038,639188695,413124452,1901911604,1181163013,31122,7888305693,1786038
62,2022,106445,720859132,41128771,490330870,35588987,2777689,79824,464684914,46234830,2780469,44273,93763,26005540,9041851,10141756,12889576,11685814,13352864,22673762,171186372,6465097,1472233,409984,3233526,9228071,405272,63532,12224110,215313498,281635,449002,782455,2630296,5579144,38929902,100108221,174079,19603733,1412175000,28160542,27914536,99010212,5970424,51874024,836774,593149,5180829,7505478,11212191,149996,68706,1251488,10672118,83797985,1120849,72737,5903037,11228821,44903225,2129112126,3447398652,2375162207,397824705,920375568,18001000,110990103,348331511,3684032,1348840,123379924,447370510,1019139254,5556106,929766,67971311,53090,2388992,3712502,33475870,32649,13859341,2705992,2105566,1674908,10426919,125438,56661,17357886,171774,808726,7346100,10432860,884288332,3855600,11584996,9643048,4913887020,6754029970,1840142950,607735968,275501339,1232406982,84519,1417173173,5127170,88550570,44496122,382003,9557500,58940425,2827377,11285869,125124989,19621972,54027487,6974900,16767842,131232,51628117,4268873,596596955,659310564,1124396999,6678280291,2325542891,493279469,5974552342,424328381,372280991,1376606817,33169026,1038012552,26069416,2639019,1113495082,306279,1919348000,6336392,1211070124,1211190002,43313523,1201670,17723315,2103055378,457549063,643602758,419284769,1919348000,1211190002,31305,7950946801,1761985
