,Year,Aruba,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Arab World,Argentina,Armenia,American Samoa,Antigua and Barbuda,Azerbaijan,Burundi,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Central Europe and the Baltics,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Cayman Islands,Cyprus,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Eritrea,Estonia,Ethiopia,Fragile and conflict affected situations,Gabon,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Guatemala,Guam,Guyana,Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,India,"Iran, Islamic Rep.",Iraq,Israel,Italy,Jamaica,Jordan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Latin America & Caribbean ,Least developed countries: UN classification,Low & middle income,Late-demographic dividend,Middle East & North Africa,Middle income,Middle East & North Africa (excluding high income),North America,OECD members,Other small states,Pre-demographic dividend,"Korea, Dem. People's Rep.",South Asia,El Salvador,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa ,Small states,Eswatini,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Latin America & the Caribbean (IDA & IBRD countries),Middle East & North Africa (IDA & IBRD countries),South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),World
20,1991,,58.1411895751953,,44.8233184814453,,,55.8139114379883,96.0407180786133,,,,,,,13.5692300796509,35.3193016052246,,84.0138320922852,89.063591003418,,70.2984237670898,,,,87.8041763305664,,68.5809097290039,,98.4063491821289,,,,,,,,,,,,,,,,,81.2028884887695,59.123779296875,81.7051086425781,95.6968383789062,,,,,,,60.406379699707,,,,,,,,92.6104507446289,,,,,,46.0618209838867,96.7015533447266,,,74.5490188598633,70.2747268676758,49.7409782409668,52.1685218811035,,48.549560546875,48.2220687866211,65.5314025878906,,,,,,,,,,,,84.2497482299805,85.0656585693359,45.2514495849609,69.8128967285156,83.350227355957,59.5187606811523,71.1709518432617,57.3358192443848,,,74.6220321655273,51.8495216369629,,45.7895584106445,,52.805908203125,52.8116188049316,78.1593475341797,,,80.9431686401367,96.0864105224609,84.5799713134766,57.1151313781738,45.7895584106445,52.8116188049316,75.1987609863281
21,1992,,58.5306396484375,,45.1633796691895,,,56.8638610839844,,,,,,,27.2451705932617,,,,,,,,79.9917678833008,,,,,,,98.4626998901367,94.2911376953125,,,,,,,,,,,,,94.3624725341797,,,81.7608337402344,60.1190795898438,82.2235717773438,95.818359375,,,,,,,60.5090713500977,,,,,,,,,,,,,,46.3830604553223,,,,75.1483917236328,70.89208984375,50.6021614074707,53.7336196899414,,49.0610008239746,,,,,,,,,,,,,,84.8778305053711,85.6455993652344,45.7734985351562,70.4444885253906,83.834098815918,60.4993591308594,71.8366775512695,58.3514404296875,,,75.0873489379883,52.143871307373,,47.0863304138184,74.1431579589844,53.166919708252,53.1725196838379,78.4751586914062,,,81.5093231201172,96.200080871582,85.1857681274414,58.136791229248,47.0863304138184,53.1725196838379,75.645751953125
22,1993,,58.9126014709473,,46.0021705627441,,,57.6829414367676,,,,,,,,,,,,,,,,,,,,,,98.5139465332031,,,,,,,91.0630874633789,,,,86.8432693481445,,,,,,82.2653121948242,60.9320907592773,82.6898422241211,95.934700012207,,,,,,,60.7043800354004,72.2336730957031,,,,,,,,,,,,,46.7584114074707,,,,75.6398468017578,71.4209365844727,51.4832801818848,55.5847816467285,,49.4793281555176,,,,,,,,,,,,,,85.5295486450195,86.2484512329102,46.2151412963867,70.9852294921875,84.2964019775391,61.3924407958984,72.415283203125,59.2031288146973,,,75.6380767822266,52.6637802124023,,48.0814590454102,,53.718921661377,53.7244415283203,78.8777084350586,,10.8946504592896,82.0211486816406,96.3097381591797,85.8156433105469,58.9860687255859,48.0814590454102,53.7244415283203,76.0596237182617
23,1994,,59.5268516540527,,46.8695106506348,,,58.4487800598145,,,,,,,,,,,,,,,,,,,,,,98.5642929077148,,,,,,,,,,,86.9070892333984,,,,,,82.8456497192383,61.707691192627,83.2462005615234,96.0470504760742,95.7228012084961,,,,,27.0113506317139,61.3616714477539,,,,,,,,,,64.2116394042969,,,,47.3481597900391,,,,76.1330871582031,71.9305801391602,52.279468536377,56.3583793640137,,50.2855796813965,,,,,,,,,,,,,,86.1509399414062,86.8230667114258,47.0920715332031,71.5058288574219,84.7303771972656,62.1976699829102,72.9544525146484,59.9660797119141,,,75.854133605957,53.2730903625488,,48.8493804931641,,54.4277610778809,54.4332008361816,79.0346984863281,,,82.6097869873047,96.4158477783203,86.416130065918,59.7447891235352,48.8493804931641,54.4332008361816,76.4627685546875
24,1995,,59.9219398498535,,47.0176315307617,,,59.5942916870117,,,,,,,,,,,,,,,,,,,,,,98.6120681762695,,,,,,,,,,,87.20751953125,,,,,,83.4269485473633,62.5181198120117,83.797721862793,96.1578369140625,95.8566818237305,,,,,,61.749641418457,,,,,,,,,,,,,,47.3681907653809,,,,76.6697387695312,72.4470062255859,52.8944702148438,57.1568794250488,,50.8127098083496,,,,,,,,,,,,,78.3955001831055,86.7825393676758,87.4062194824219,47.8587112426758,72.0333099365234,85.1932678222656,63.8145713806152,73.5155334472656,61.6653289794922,,,76.2235107421875,53.6791381835938,,49.6404800415039,,54.7223205566406,54.7277603149414,79.3659896850586,,,83.1996765136719,96.5205764770508,87.0254821777344,61.4497604370117,49.6404800415039,54.7277603149414,76.8689422607422
25,1996,,60.434928894043,,47.8064498901367,,,60.8810386657715,,,,,,,,12.8481702804565,,,,,,,,,,,,,,,,,,,,,91.207160949707,,,,87.5077972412109,,,,,,83.9453201293945,63.2525482177734,84.2900390625,96.3335800170898,96.0199432373047,,55.5870018005371,,,,62.082389831543,,,,20.5537490844727,,,,,,,,,,47.8301696777344,,,,77.1768112182617,72.9441223144531,53.5342903137207,58.0208892822266,,51.3359985351562,,73.0602493286133,,,,,,,,,,,,87.1184921264648,87.7244491577148,48.3857688903809,72.5415191650391,85.6125793457031,65.1247100830078,74.0469284057617,63.0276794433594,,,76.7973403930664,54.3219909667969,,50.4491996765137,,55.3402786254883,55.3456497192383,79.8363723754883,,,83.7264633178711,96.6783294677734,87.3589782714844,62.8152809143066,50.4491996765137,55.3456497192383,77.258171081543
26,1997,,61.1740608215332,,48.8288803100586,,,61.8283309936523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.8010864257812,,,,,,89.5268325805664,63.927360534668,89.2774887084961,96.4408416748047,96.1466827392578,,,,,,62.6230087280273,,,,,,,,,,,,,,48.57666015625,,,,80.0826416015625,75.432746887207,54.2851600646973,58.8620681762695,,52.032901763916,,,,,,,,,,,,,,87.4519195556641,88.0444717407227,49.1099281311035,75.0760192871094,90.4145202636719,66.0406265258789,76.7100219726562,63.943000793457,,,77.2912826538086,55.193431854248,,51.2601699829102,,56.1874885559082,56.1927490234375,80.2508010864258,,,89.3849868774414,96.7780685424805,87.6940765380859,63.7425689697266,51.2601699829102,56.1927490234375,79.2486801147461
27,1998,,61.4087104797363,,50.1755790710449,,,63.0368881225586,,,,,,,,,,,,,,,,,,,,,,,,,36.3502388000488,,,,,,,,88.0916137695312,,,,,,89.9064483642578,66.9112319946289,89.6400833129883,96.7650909423828,96.2917022705078,,,,,,63.241340637207,,,,,,,,,,,,,,49.082649230957,,,,81.6732482910156,76.9387283325195,55.5736808776855,59.7652206420898,,53.5026206970215,,,,,,,,,,,67.3350296020508,,,87.8068313598633,88.399040222168,50.7171287536621,76.6088485717773,90.7604522705078,67.2555770874023,78.3040008544922,65.1288986206055,,,78.0746688842773,55.8643608093262,,56.1029396057129,,56.8629913330078,56.8682518005371,80.8655395507812,,,89.7708587646484,97.0632705688477,88.0670013427734,64.9189300537109,56.1029396057129,56.8682518005371,80.4339294433594
28,1999,,62.2584190368652,,51.0516586303711,,,64.1111602783203,,,,,98.7918014526367,,,,,,,,99.5907287597656,,,,,,,,,,,,,,,,,,,,87.3703765869141,,,,,,90.2040023803711,67.5473480224609,89.9609527587891,96.8602066040039,96.404541015625,,,,,,63.6914596557617,,,,,,,,,,,,,,49.9111213684082,,,,82.0435180664062,77.3494110107422,56.3768692016602,60.5018310546875,,54.3329315185547,,,,,,79.9201202392578,,99.5126571655273,,,,,,88.1361312866211,88.7034912109375,51.6059684753418,77.0318374633789,91.0391998291016,68.3557662963867,78.7304000854492,66.2508773803711,,,78.592658996582,56.7898292541504,,56.8763084411621,,57.720329284668,57.7254905700684,81.0589065551758,,,90.0732574462891,97.1228179931641,88.387336730957,66.0451889038086,56.8763084411621,57.7254905700684,80.7684020996094
29,2000,97.2912521362305,62.4951782226562,,47.0571594238281,,,64.8062973022461,,,,,,59.3036193847656,,,,,,96.6631011962891,,,,86.3678817749023,,,,,50.6451683044434,,,90.9202117919922,48.7407608032227,68.4091567993164,,,,68.4892272949219,76.1104431152344,94.8681869506836,88.7356872558594,,,,,,90.5106201171875,68.2059936523438,90.2488174438477,97.047248840332,96.4940719604492,,,,99.7671966552734,,61.7520294189453,,,57.8974685668945,,36.8177299499512,41.3577690124512,88.3082962036133,,,,99.5599975585938,,,50.4987602233887,,,,82.4351119995117,77.5199813842773,55.770580291748,57.4860000610352,,54.9180793762207,,,74.0522003173828,,,,,,82.2290802001953,,,,,88.4030303955078,88.9560012817383,52.0070114135742,77.2071914672852,91.2517929077148,69.2367401123047,78.9223175048828,67.3256683349609,,,78.6375427246094,54.996711730957,,57.6505813598633,,56.2482795715332,56.2537612915039,81.4011917114258,81.6606979370117,25.6542091369629,90.3848495483398,97.2870864868164,88.6526336669922,67.1240005493164,57.6505813598633,56.2537612915039,80.8745193481445
